Database,Credit,Table,IFCGLs
IFCCode,SysAccountName,AccountAlias,Id
282,PENALTY_PRIN0,###**34620?000000000,0
282,PAID_PENALTY_PRIN0,###**62230?000000000,0
282,PENALTY_PRIN1,###**34620?000000000,0
282,PAID_PENALTY_PRIN1,###**62230?000000000,0
282,PENALTY_PRIN2,###**34620?000000000,0
282,PAID_PENALTY_PRIN2,###**62230?000000000,0
282,PENALTY_PRIN3,###**34620?000000000,0
282,PENALTY_PRIN4,###**34620?000000000,0
282,PAID_PENALTY_PRIN_S,###**62230?000000000,0
292,PENALTY_PRIN0,###**34620?000000000,0
292,PAID_PENALTY_PRIN0,###**62230?000000000,0
292,PENALTY_PRIN1,###**34620?000000000,0
292,PAID_PENALTY_PRIN1,###**62230?000000000,0
292,PENALTY_PRIN2,###**34620?000000000,0
292,PAID_PENALTY_PRIN2,###**62230?000000000,0
292,PENALTY_PRIN3,###**34620?000000000,0
292,PENALTY_PRIN4,###**34620?000000000,0
292,PAID_PENALTY_PRIN_S,###**62230?000000000,0
304,PENALTY_PRIN0,###**34620?000000000,0
304,PAID_PENALTY_PRIN0,###**62230?000000000,0
304,PENALTY_PRIN1,###**34620?000000000,0
304,PAID_PENALTY_PRIN1,###**62230?000000000,0
304,PENALTY_PRIN2,###**34620?000000000,0
304,PAID_PENALTY_PRIN2,###**62230?000000000,0
304,PENALTY_PRIN3,###**34620?000000000,0
304,PENALTY_PRIN4,###**34620?000000000,0
304,PAID_PENALTY_PRIN_S,###**62230?000000000,0
314,PENALTY_PRIN0,###**34620?000000000,0
314,PAID_PENALTY_PRIN0,###**62230?000000000,0
314,PENALTY_PRIN1,###**34620?000000000,0
314,PAID_PENALTY_PRIN1,###**62230?000000000,0
314,PENALTY_PRIN2,###**34620?000000000,0
314,PAID_PENALTY_PRIN2,###**62230?000000000,0
314,PENALTY_PRIN3,###**34620?000000000,0
314,PENALTY_PRIN4,###**34620?000000000,0
314,PAID_PENALTY_PRIN_S,###**62230?000000000,0
324,PENALTY_PRIN0,###**34620?000000000,0
324,PAID_PENALTY_PRIN0,###**62230?000000000,0
324,PENALTY_PRIN1,###**34620?000000000,0
324,PAID_PENALTY_PRIN1,###**62230?000000000,0
324,PENALTY_PRIN2,###**34620?000000000,0
324,PAID_PENALTY_PRIN2,###**62230?000000000,0
324,PENALTY_PRIN3,###**34620?000000000,0
324,PENALTY_PRIN4,###**34620?000000000,0
324,PAID_PENALTY_PRIN_S,###**62230?000000000,0
332,PENALTY_PRIN0,###**34620?000000000,0
332,PAID_PENALTY_PRIN0,###**62230?000000000,0
332,PENALTY_PRIN1,###**34620?000000000,0
332,PAID_PENALTY_PRIN1,###**62230?000000000,0
332,PENALTY_PRIN2,###**34620?000000000,0
332,PAID_PENALTY_PRIN2,###**62230?000000000,0
332,PENALTY_PRIN3,###**34620?000000000,0
332,PENALTY_PRIN4,###**34620?000000000,0
332,PAID_PENALTY_PRIN_S,###**62230?000000000,0
343,PENALTY_PRIN0,###**34620?000000000,0
343,PAID_PENALTY_PRIN0,###**62230?000000000,0
343,PENALTY_PRIN1,###**34620?000000000,0
343,PAID_PENALTY_PRIN1,###**62230?000000000,0
