Database,Credit,Table,CreditCatalogGLs,
CatalogCode,SysAccountName,COAAccount,AccountAlias,Id
TLY3MMK007,PROV_DR2,,###**34620?000000000,0
TLY3MMK007,PROV_DR3,,###**34620?000000000,0
TLY3MMK007,PROV_DR4,,###**34620?000000000,0
ST01MMK008,CREDIT0,,###**95410?060000000,0
ST01MMK008,CREDIT1,,###**95410?060000000,0
ST01MMK008,CREDIT2,,###**95410?060000000,0
ST01MMK008,CREDIT3,,###**95410?060000000,0
ST01MMK008,CREDIT4,,###**95410?060000000,0
ST01MMK008,PROV_CR_RVS0,,###**34620?000000000,0
ST01MMK008,PROV_CR_RVS1,,###**34620?000000000,0
ST01MMK008,PROV_CR_RVS2,,###**34620?000000000,0
ST01MMK008,PROV_CR_RVS3,,###**34620?000000000,0
ST01MMK008,PROV_CR_RVS4,,###**34620?000000000,0
ST01MMK008,PROV_CR0,,###**62230?000000000,0
ST01MMK008,PROV_CR1,,###**62230?000000000,0
ST01MMK008,PROV_CR2,,###**62230?000000000,0
ST01MMK008,PROV_CR3,,###**62230?000000000,0
ST01MMK008,PROV_CR4,,###**62230?000000000,0
ST01MMK008,PROV_DR_RVS0,,###**62230?000000000,0
ST01MMK008,PROV_DR_RVS1,,###**62230?000000000,0
ST01MMK008,PROV_DR_RVS2,,###**62230?000000000,0
ST01MMK008,PROV_DR_RVS3,,###**62230?000000000,0
ST01MMK008,PROV_DR_RVS4,,###**62230?000000000,0
ST01MMK008,PROV_DR0,,###**34620?000000000,0
ST01MMK008,PROV_DR1,,###**34620?000000000,0
ST01MMK008,PROV_DR2,,###**34620?000000000,0
ST01MMK008,PROV_DR3,,###**34620?000000000,0
ST01MMK008,PROV_DR4,,###**34620?000000000,0
HP05MMK009,CREDIT0,,###**95410?060000000,0
HP05MMK009,CREDIT1,,###**95410?060000000,0
HP05MMK009,CREDIT2,,###**95410?060000000,0
HP05MMK009,CREDIT3,,###**95410?060000000,0
HP05MMK009,CREDIT4,,###**95410?060000000,0
HP05MMK009,PROV_CR_RVS0,,###**34620?000000000,0
HP05MMK009,PROV_CR_RVS1,,###**34620?000000000,0
HP05MMK009,PROV_CR_RVS2,,###**34620?000000000,0
HP05MMK009,PROV_CR_RVS3,,###**34620?000000000,0
HP05MMK009,PROV_CR_RVS4,,###**34620?000000000,0
HP05MMK009,PROV_CR0,,###**62230?000000000,0
HP05MMK009,PROV_CR1,,###**62230?000000000,0
HP05MMK009,PROV_CR2,,###**62230?000000000,0
HP05MMK009,PROV_CR3,,###**62230?000000000,0
HP05MMK009,PROV_CR4,,###**62230?000000000,0
HP05MMK009,PROV_DR_RVS0,,###**62230?000000000,0
HP05MMK009,PROV_DR_RVS1,,###**62230?000000000,0
HP05MMK009,PROV_DR_RVS2,,###**62230?000000000,0
HP05MMK009,PROV_DR_RVS3,,###**62230?000000000,0
