Database,Credit,Table,CreditCatalogGLs,
CatalogCode,SysAccountName,COAAccount,AccountAlias,Id
HPA3MMK019,PROV_CR_RVS3,,###**34620?000000000,0
HPA3MMK019,PROV_CR_RVS4,,###**34620?000000000,0
HPA3MMK019,PROV_CR0,,###**62230?000000000,0
HPA3MMK019,PROV_CR1,,###**62230?000000000,0
HPA3MMK019,PROV_CR2,,###**62230?000000000,0
HPA3MMK019,PROV_CR3,,###**62230?000000000,0
HPA3MMK019,PROV_CR4,,###**62230?000000000,0
HPA3MMK019,PROV_DR_RVS0,,###**62230?000000000,0
HPA3MMK019,PROV_DR_RVS1,,###**62230?000000000,0
HPA3MMK019,PROV_DR_RVS2,,###**62230?000000000,0
HPA3MMK019,PROV_DR_RVS3,,###**62230?000000000,0
HPA3MMK019,PROV_DR_RVS4,,###**62230?000000000,0
HPA3MMK019,PROV_DR0,,###**34620?000000000,0
HPA3MMK019,PROV_DR1,,###**34620?000000000,0
HPA3MMK019,PROV_DR2,,###**34620?000000000,0
HPA3MMK019,PROV_DR3,,###**34620?000000000,0
HPA3MMK019,PROV_DR4,,###**34620?000000000,0
