Database,Credit,Table,IFCGLs
"IfcCode","SysAccountName","AccountAlias","Id"
"231","PAID_INTEREST1","###3010601010102**","478"
"231","PAID_INTEREST2","###3010701010101**","479"
"231","PAID_INTEREST3","###3010701010102**","480"
"231","PAID_INTEREST4","###3010701010103**","481"
"40","IFCC","---1100202010105**","482"
"65","IFCC","---1100202010105**","484"
"66","PAID_PENALTY_PRIN_S","###3030201000005**","485"
"66","PAID_PENALTY_PRIN0","###3030201000001**","486"
"67","IFCC","---1100202010105**","487"
"64","IFCC","###1100202010105**","488"
"261","INTEREST0","###3010301040101**","489"
"261","INTEREST1","###3010301010102**","490"
"261","INTEREST2","###3010301010103**","491"
"261","INTEREST3","###3010301020101**","492"
"261","INTEREST4","###3010301020102**","493"
"261","PAID_INTEREST_S","###3010701020101**","494"
"261","PAID_INTEREST0","###3010301070101**","495"
"261","PAID_INTEREST1","###3010601010102**","496"
"261","PAID_INTEREST2","###3010701010101**","497"
"74","INTEREST0","###3010301040101**","518"
"74","INTEREST1","###3010301010102**","519"
"74","INTEREST2","###3010301010103**","520"
"74","INTEREST3","###3010301020101**","521"
"74","INTEREST4","###3010301020102**","522"
"74","PAID_INTEREST_S","###3010701020101**","523"
"74","PAID_INTEREST0","###3010301070101**","524"
"74","PAID_INTEREST1","###3010601010102**","525"
"74","PAID_INTEREST2","###3010701010101**","526"
"74","PAID_INTEREST3","###3010701010102**","527"
"74","PAID_INTEREST4","###3010701010103**","528"
"75","INTEREST0","###3010301040101**","529"
"75","INTEREST1","###3010301010102**","530"
"75","INTEREST2","###3010301010103**","531"
"75","INTEREST3","###3010301020101**","532"
"75","INTEREST4","###3010301020102**","533"
"75","PAID_INTEREST_S","###3010701020101**","534"
"75","PAID_INTEREST0","###3010301070101**","535"
"75","PAID_INTEREST1","###3010601010102**","536"
"75","PAID_INTEREST2","###3010701010101**","537"
"75","PAID_INTEREST3","###3010701010102**","538"
"75","PAID_INTEREST4","###3010701010103**","539"
"78","INTEREST0","###3010301040101**","540"
"78","INTEREST1","###3010301010102**","541"
"78","INTEREST2","###3010301010103**","542"
"78","INTEREST3","###3010301020101**","543"
"78","INTEREST4","###3010301020102**","544"
"78","PAID_INTEREST_S","###3010701020101**","545"
"78","PAID_INTEREST0","###3010301070101**","546"
"78","PAID_INTEREST1","###3010601010102**","547"
"78","PAID_INTEREST2","###3010701010101**","548"
"78","PAID_INTEREST3","###3010701010102**","549"
"78","PAID_INTEREST4","###3010701010103**","550"
"81","PAID_PENALTY_INT_S","###3030301000004**","551"
"81","PAID_PENALTY_INT0","###3030201000011**","552"
"81","PAID_PENALTY_INT1","###3030201000012**","553"
"81","PAID_PENALTY_INT2","###3030301000001**","554"
"81","PENALTY_INT0","###3030201000006**","555"
"81","PENALTY_INT1","###3030201000007**","556"
"81","PENALTY_INT2","###3030201000008**","557"
"81","PENALTY_INT3","###3030201000009**","558"
"81","PENALTY_INT4","###3030201000010**","559"
"82","PAID_PENALTY_INT_S","###3030301000004**","560"
"82","PAID_PENALTY_INT0","###3030201000011**","561"
"82","PAID_PENALTY_INT1","###3030201000012**","562"
"82","PAID_PENALTY_INT2","###3030301000001**","563"
"82","PENALTY_INT0","###3030201000006**","564"
"82","PENALTY_INT1","###3030201000007**","565"
"82","PENALTY_INT2","###3030201000008**","566"
"82","PENALTY_INT3","###3030201000009**","567"
"82","PENALTY_INT4","###3030201000010**","568"
"80","INTEREST0","###3010301040101**","569"
"80","INTEREST1","###3010301010102**","570"
"80","INTEREST2","###3010301010103**","571"
"80","INTEREST3","###3010301020101**","572"
"80","INTEREST4","###3010301020102**","573"
"80","PAID_INTEREST_S","###3010701020101**","574"
"80","PAID_INTEREST0","###3010301070101**","575"
"80","PAID_INTEREST1","###3010601010102**","576"
"80","PAID_INTEREST2","###3010701010101**","577"
"80","PAID_INTEREST3","###3010701010102**","578"
"80","PAID_INTEREST4","###3010701010103**","579"
"44","IFCC","---1100202010105**","580"
"68","INTEREST0","###3010301040101**","582"
"68","INTEREST1","###3010301010102**","583"
"68","INTEREST2","###3010301010103**","584"
"68","INTEREST3","###3010301020101**","585"
"68","INTEREST4","###3010301020102**","586"
"68","PAID_INTEREST_S","###3010701020101**","587"
"68","PAID_INTEREST0","###3010301070101**","588"
"68","PAID_INTEREST1","###3010601010102**","589"
"68","PAID_INTEREST2","###3010701010101**","590"
"68","PAID_INTEREST3","###3010701010102**","591"
"68","PAID_INTEREST4","###3010701010103**","592"
"68","IFCC","---1100202010105**","594"
"69","INTEREST0","###3010301040101**","606"
"69","INTEREST1","###3010301010102**","607"
"69","INTEREST2","###3010301010103**","608"
"69","INTEREST3","###3010301020101**","609"
"69","INTEREST4","###3010301020102**","610"
"69","PAID_INTEREST_S","###3010701020101**","611"
"69","PAID_INTEREST0","###3010301070101**","612"
"69","PAID_INTEREST1","###3010601010102**","613"
"69","PAID_INTEREST2","###3010701010101**","614"
"69","IFCC","---1100202010105**","615"
"62","IFCC","###1100202010105**","616"
"70","IFCC","---1100202010105**","619"
"71","IFCC","###1100202010105**","620"
