Database,Credit,Table,IFCGLs
IfcCode,SysAccountName,AccountAlias,Id
41,IFCC,---1101003010001**,0
43,IFCC,---1101003010001**,0
45,IFCC,---1101003010001**,0
46,IFCC,---1101003010001**,0
47,IFCC,---1101003010001**,0
48,IFCC,---1101003010001**,0
241,INTEREST0,###1101003010001**,0
241,PAID_INTEREST0,###1101003010001**,0
241,INTEREST1,###1101003010001**,0
241,PAID_INTEREST1,###1101003010001**,0
241,INTEREST2,###1101003010001**,0
241,PAID_INTEREST2,###1101003010001**,0
241,INTEREST3,###1101003010001**,0
241,INTEREST4,###1101003010001**,0
241,PAID_INTEREST_S,###1101003010001**,0
251,INTEREST0,###1101003010001**,0
251,PAID_INTEREST0,###1101003010001**,0
251,INTEREST1,###1101003010001**,0
251,PAID_INTEREST1,###1101003010001**,0
251,INTEREST2,###1101003010001**,0
251,PAID_INTEREST2,###1101003010001**,0
251,INTEREST3,###1101003010001**,0
251,INTEREST4,###1101003010001**,0
251,PAID_INTEREST_S,###1101003010001**,0
271,INTEREST0,###1101003010001**,0
271,PAID_INTEREST0,###1101003010001**,0
271,INTEREST1,###1101003010001**,0
271,PAID_INTEREST1,###1101003010001**,0
271,INTEREST2,###1101003010001**,0
271,PAID_INTEREST2,###1101003010001**,0
271,INTEREST3,###1101003010001**,0
271,INTEREST4,###1101003010001**,0
271,PAID_INTEREST_S,###1101003010001**,0
281,INTEREST0,###1101003010001**,0
281,PAID_INTEREST0,###1101003010001**,0
281,INTEREST1,###1101003010001**,0
281,PAID_INTEREST1,###1101003010001**,0
281,INTEREST2,###1101003010001**,0
281,PAID_INTEREST2,###1101003010001**,0
281,INTEREST3,###1101003010001**,0
281,INTEREST4,###1101003010001**,0
281,PAID_INTEREST_S,###1101003010001**,0
291,INTEREST0,###1101003010001**,0
291,PAID_INTEREST0,###1101003010001**,0
291,INTEREST1,###1101003010001**,0
291,PAID_INTEREST1,###1101003010001**,0
291,INTEREST2,###1101003010001**,0
291,PAID_INTEREST2,###1101003010001**,0
291,INTEREST3,###1101003010001**,0
291,INTEREST4,###1101003010001**,0
291,PAID_INTEREST_S,###1101003010001**,0
301,INTEREST0,###1101003010001**,0
301,PAID_INTEREST0,###1101003010001**,0
301,INTEREST1,###1101003010001**,0
301,PAID_INTEREST1,###1101003010001**,0
301,INTEREST2,###1101003010001**,0
301,PAID_INTEREST2,###1101003010001**,0
301,INTEREST3,###1101003010001**,0
301,INTEREST4,###1101003010001**,0
301,PAID_INTEREST_S,###1101003010001**,0
302,INTEREST0,###1101003010001**,0
302,PAID_INTEREST0,###1101003010001**,0
302,INTEREST1,###1101003010001**,0
302,PAID_INTEREST1,###1101003010001**,0
