Database,Payment,Table,PaymentIFCDefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcCode,IfcName,ValueBase,IsLinked,IfcLinkage,IfcOperator,FloorValue,CeilingValue,ValueType,IfcType,IfcSubType,IfcValue,MarginValue,ValueBasic,Isnet,Refname,IfcTenor,IfcTenorUnit,IfcCondition,CurrencyCode,RoundingRule,RoundingBasis,RoundingNum,Isleave,Isbook,Booktday,BookTenor,BookTenorUnit,IfcStatus,UserCreated,UserApproved,Payrate,ShareFee,EffectValueDate,EffectValue,TransactionList,CreatedOnUtc,UpdatedOnUtc,Id
1,Deposit (MMK) For Different Region (By Cash/Tr),I,N,0,%,200,0,P,C,CN,0.05,0,,,,0,D,,MMK,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
2,Withdrawal (MMK) For Different Region  (By Cash),I,N,0,%,200,0,P,C,CN,0.05,0,,,,0,D,,MMK,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
3,Account To Account Transfer (MMK) For Different Region,I,N,0,%,200,0,P,C,CN,0.05,0,,,,0,D,,MMK,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
4,Communication Fee for Different Region (MMK),I,N,0,+,0,0,F,C,CN,500,0,,,,0,D,,MMK,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
5,Withdrawal (MMK) For Same Region  (By Cash),I,N,0,+,0,0,F,C,CN,0,0,,,,0,D,,MMK,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
6,Account To Account Transfer (MMK) For Same Region,I,N,0,+,0,0,F,C,CN,0,0,,,,0,D,,MMK,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
7,Deposit (MMK) For Same Region  (By Cash/Tr),I,N,0,+,0,0,F,C,CN,0,0,,,,0,D,,MMK,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
8,Deposit (MMK) For Same Branch  (By Cash/Tr),I,N,0,+,0,0,F,C,CN,0,0,,,,0,D,,MMK,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
9,Withdrawal (MMK) For Same Branch  (By Cash),I,N,0,+,0,0,F,C,CN,0,0,,,,0,D,,MMK,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
10,Account To Account Transfer (MMK) For Same Branch,I,N,0,+,0,0,F,C,CN,0,0,,,,0,D,,MMK,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
11,Communication Fee Swift Charges,I,N,0,+,0,0,F,C,CN,5,0,,,,0,D,,USD,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
12,Income A/C Other Commission and Service Charges(FCY),I,N,0,+,0,0,P,C,CN,1,0,,,,0,D,,USD,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
13,Commission On Letter Of Credit,I,N,0,+,0,0,P,C,CN,0.05,0,,,,0,D,,USD,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
14,"Amendment Commission (Date Extension,Amt Increase)",I,N,0,+,0,0,P,C,CN,0.25,0,,,,0,D,,USD,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
15,L/C Cancellation,I,N,0,+,0,0,F,C,CN,30,0,,,,0,D,,USD,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
16,Commission On Bill Handling charges,I,N,0,+,0,0,F,C,CN,50,0,,,,0,D,,USD,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
17,Communication Fee Swift Charges,I,N,0,+,0,0,F,C,CN,5,0,,,,0,D,,USD,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
18,Communication on Discrepancies Acceptance Charges,I,N,0,+,0,0,F,C,CN,60,0,,,,0,D,,USD,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
19,L/C Advising Commission,I,N,0,+,0,0,F,C,CN,30,0,,,,0,D,,USD,R,P,2,N,N,,0,M,N,00911,0,100,0,,0,PMT_OIT|PMT_OITT|PMT_IIT|PMT_IITT,,,0
