Database,Admin,Table,UserRight,,,,
RoleId,CommandId,CommandIdDetail,Invoke,Approve,UpdatedOnUtc,CreatedOnUtc,Id
2,DPT_VIEW_MODIFY,A,1,1,,,0
2,DPT_APPROVE_MODIFY,A,1,1,,,0
2,DPT_REJECT_MODIFY,A,1,1,,,0
2,006001,A,1,1,,,0
2,006002,A,1,1,,,0
2,006003,A,1,1,,,0
2,006005,A,0,0,,,0
2,006006,A,1,1,,,0
2,006007,A,1,1,,,0
2,006008,A,1,1,,,0
2,CRD_SEARCH_SP_CRDCAT,A,1,1,,,0
2,CRD_SEARCH_ADV_CRDCAT,A,1,1,,,0
2,CRD_INSERT_CRDCAT,A,1,1,,,0
2,CRD_VIEW_CRDCAT,A,1,1,,,0
2,CRD_UPDATE_CRDCAT,A,1,1,,,0
2,CRD_DELETE_CRDCAT,A,1,1,,,0
2,0060010005,A,1,1,,,0
2,0060010010,A,1,1,,,0
2,CRD_SEARCH_SP_CREDIT,A,1,1,,,0
2,CRD_SEARCH_ADV_CREDIT,A,1,1,,,0
2,CRD_OPN,A,1,1,,,0
2,CRD_VIEW_CREDIT,A,1,1,,,0
2,CRD_UPDATE_CREDIT,A,1,1,,,0
2,CRD_DELETE_CREDIT,A,1,1,,,0
2,0060020005,A,1,1,,,0
2,CRD_SEARCH_SP_CRDGRPLM,A,0,0,,,0
2,CRD_SEARCH_ADV_CRDGRPLM,A,0,0,,,0
2,CRD_INSERT_CRDGRPLM,A,0,0,,,0
2,CRD_VIEW_CRDGRPLM,A,0,0,,,0
2,CRD_UPDATE_CRDGRPLM,A,0,0,,,0
2,CRD_DELETE_CRDGRPLM,A,0,0,,,0
2,0060050005,A,0,0,,,0
2,0060050010,A,0,0,,,0
2,CRD_SEARCH_SP_CRDPL,A,1,1,,,0
2,CRD_SEARCH_ADV_CRDPL,A,1,1,,,0
2,CRD_PLO,A,1,1,,,0
2,CRD_VIEW_CRDPL,A,1,1,,,0
2,CRD_UPDATE_CRDPL,A,1,1,,,0
2,0060060005,A,1,1,,,0
2,CRD_SEARCH_SP_CRDSPL,A,1,1,,,0
2,CRD_SEARCH_ADV_CRDSPL,A,1,1,,,0
2,CRD_SPLO,A,1,1,,,0
2,CRD_VIEW_CRDSPL,A,1,1,,,0
2,CRD_UPDATE_CRDSPL,A,1,1,,,0
2,0060070005,A,1,1,,,0
2,CRD_SEARCH_SP_CREDIT_AP,A,1,1,,,0
2,CRD_SEARCH_ADV_CREDIT_AP,A,1,1,,,0
2,CRD_VIEWBYDEFACNO_CREDIT,A,1,1,,,0
2,CRD_VIEW_MODIFY,A,1,1,,,0
2,CRD_APPROVE_MODIFY,A,1,1,,,0
2,CRD_REJECT_MODIFY,A,1,1,,,0
2,007001,A,1,1,,,0
2,007006,A,1,1,,,0
2,007009,A,1,1,,,0
2,007020,A,1,1,,,0
2,007021,A,0,0,,,0
2,PMT_SEARCH_SP_PMTCAT,A,1,1,,,0
2,PMT_SEARCH_ADV_PMTCAT,A,1,1,,,0
2,PMT_INSERT_PMTCAT,A,1,1,,,0
2,PMT_VIEW_PMTCAT,A,1,1,,,0
2,PMT_UPDATE_PMTCAT,A,1,1,,,0
2,PMT_DELETE_PMTCAT,A,1,1,,,0
2,0070010005,A,1,1,,,0
2,0070010010,A,1,1,,,0
2,PMT_SEARCH_SP_QUEUE_OUTWAR,A,1,1,,,0
2,PMT_SEARCH_ADV_QUEUE_OUTWAR,A,1,1,,,0
2,PMT_VIEW_QUEUE_OUTWAR,A,1,1,,,0
2,0070060008,A,1,1,,,0
2,0070060009,A,1,1,,,0
2,DPT_SEARCH_ACCOUNTLINKAGE,A,1,1,,,0
2,DPT_INSERT_ACCOUNTLINKAGE,A,1,1,,,0
2,DPT_VIEW_ACCOUNTLINKAGE,A,1,1,,,0
2,DPT_UPDATE_ACCOUNTLINKAGE,A,1,1,,,0
2,DPT_DELETE_ACCOUNTLINKAGE,A,1,1,,,0
2,0070090005,A,1,1,,,0
2,0070090010,A,1,1,,,0
2,PMT_SEARCH_SP_QUEUE_INWAR,A,1,1,,,0
2,PMT_VIEW_QUEUE_INWAR,A,1,1,,,0
2,PMT_SEARCH_ADV_QUEUE_INWAR,A,1,1,,,0
2,0070200008,A,1,1,,,0
2,0070200009,A,1,1,,,0
2,PMT_SEARCH_SP_TXSFAST,A,0,0,,,0
2,PMT_VIEW_TXSFAST,A,0,0,,,0
2,0070210008,A,0,0,,,0
2,0070210009,A,0,0,,,0
2,0070210037,A,0,0,,,0
2,0070210038,A,0,0,,,0
2,010001,A,1,1,,,0
2,010002,A,1,1,,,0
2,MTG_SIMPLE_SEARCH_MORTGAGE_CATALOG,A,1,1,,,0
2,MTG_ADVANCED_SEARCH_MORTGAGE_CATALOG,A,1,1,,,0
2,MTG_INSERT_MORTGAGE_CATALOG,A,1,1,,,0
2,MTG_VIEW_MORTGAGE_CATALOG,A,1,1,,,0
2,MTG_UPDATE_MORTGAGE_CATALOG,A,1,1,,,0
2,MTG_DELETE_MORTGAGE_CATALOG,A,1,1,,,0
2,0100010005,A,1,1,,,0
2,0100010010,A,1,1,,,0
2,MTG_SIMPLE_SEARCH_MORTGAGE_ACCOUNT,A,1,1,,,0
2,MTG_ADVANCED_SEARCH_MORTGAGE_ACCOUNT,A,1,1,,,0
2,MTG_OPN,A,1,1,,,0
2,MTG_VIEW_MORTGAGE_ACCOUNT,A,1,1,,,0
2,MTG_UPDATE_MORTGAGE_ACCOUNT,A,1,1,,,0
2,MTG_DELETE_MORTGAGE_ACCOUNT,A,1,1,,,0
2,0100020005,A,1,1,,,0
2,011001,A,1,1,,,0
2,011002,A,1,1,,,0
2,012001,A,1,1,,,0
2,012002,A,1,1,,,0
2,ACT_MAN,A,1,1,,,0
2,012004,A,1,1,,,0
2,012005,A,1,1,,,0
2,012006,A,1,1,,,0
2,012007,A,1,1,,,0
2,ACT_ACCHRT_SER_SIMPLE,A,1,1,,,0
2,ACT_ACCHRT_SER_ADVANCE,A,1,1,,,0
2,ACT_ACCHRT_INS,A,1,1,,,0
2,ACT_ACCHRT_VIEW,A,1,1,,,0
2,ACT_ACCHRT_UPD,A,1,1,,,0
2,ACT_ACCHRT_DEL,A,1,1,,,0
2,0120020005,A,1,1,,,0
2,0120020010,A,1,1,,,0
2,0120030005,A,1,1,,,0
2,012004001,A,1,1,,,0
2,012004005,A,1,1,,,0
2,SQL_SEARCH_FACACT,A,1,1,,,0
2,SQL_ADSEARCH_FACACT,A,1,1,,,0
2,FAC_OPN,A,1,1,,,0
2,SQL_VIEW_FACACT,A,1,1,,,0
2,SQL_UPDATE_FACACT,A,1,1,,,0
2,SQL_DELETE_FACACT,A,1,1,,,0
2,0120040010005,A,1,1,,,0
2,SQL_SEARCH_FACCAT,A,1,1,,,0
2,SQL_ADSEARCH_FACCAT,A,1,1,,,0
2,SQL_INSERT_FACCAT,A,1,1,,,0
2,SQL_VIEW_FACCAT,A,1,1,,,0
2,SQL_UPDATE_FACCAT,A,1,1,,,0
2,SQL_DELETE_FACCAT,A,1,1,,,0
2,0120040050005,A,1,1,,,0
2,0120040050010,A,1,1,,,0
2,012005001,A,0,0,,,0
2,012005002,A,0,0,,,0
2,012005003,A,0,0,,,0
2,012005005,A,1,1,,,0
2,012005006,A,1,1,,,0
2,012005007,A,1,1,,,0
2,012005009,A,0,0,,,0
2,ACT_ACGRPDEF_SER_SIMPLE,A,0,0,,,0
2,ACT_ACGRPDEF_SER_ADVANCE,A,0,0,,,0
2,ACT_ACGRPDEF_INS,A,0,0,,,0
2,ACT_ACGRPDEF_VIEW,A,0,0,,,0
2,ACT_ACGRPDEF_UPD,A,0,0,,,0
2,ACT_ACGRPDEF_DEL,A,0,0,,,0
2,0120050010005,A,0,0,,,0
2,0120050010010,A,0,0,,,0
2,ACT_ACGRPDEFDTL_SER_SIMPLE,A,0,0,,,0
2,ACT_ACGRPDEFDTL_SER_ADVANCE,A,0,0,,,0
2,ACT_ACGRPDEFDTL_INS,A,0,0,,,0
2,ACT_ACGRPDEFDTL_VIEW,A,0,0,,,0
2,ACT_ACGRPDEFDTL_UPD,A,0,0,,,0
2,ACT_ACGRPDEFDTL_DEL,A,0,0,,,0
2,0120050020005,A,0,0,,,0
2,0120050020010,A,0,0,,,0
2,ACT_ACGRP_SER_SIMPLE,A,0,0,,,0
2,ACT_ACGRP_SER_ADVANCE,A,0,0,,,0
2,ACT_ACGRP_INS,A,0,0,,,0
2,ACT_ACGRP_VIEW,A,0,0,,,0
2,ACT_ACGRP_UPD,A,0,0,,,0
2,ACT_ACGRP_DEL,A,0,0,,,0
2,0120050030005,A,0,0,,,0
2,0120050030010,A,0,0,,,0
2,ACT_ACCOM_SER_SIMPLE,A,1,1,,,0
2,ACT_ACCOM_SER_ADVANCE,A,1,1,,,0
2,ACT_ACCOM_INS,A,1,1,,,0
2,ACT_ACCOM_VIEW,A,1,1,,,0
2,ACT_ACCOM_UPD,A,1,1,,,0
2,ACT_ACCOM_DEL,A,1,1,,,0
2,0120050050005,A,1,1,,,0
2,0120050050010,A,1,1,,,0
2,ACT_ACCLR_SER_SIMPLE,A,1,1,,,0
2,ACT_ACCLR_SER_ADVANCE,A,1,1,,,0
2,ACT_ACCLR_INS,A,1,1,,,0
2,ACT_ACCLR_VIEW,A,1,1,,,0
2,ACT_ACCLR_UPD,A,1,1,,,0
2,ACT_ACCLR_DEL,A,1,1,,,0
2,0120050060005,A,1,1,,,0
2,0120050060010,A,1,1,,,0
2,ACT_FXCLR_SER_SIMPLE,A,1,1,,,0
2,ACT_FXCLR_SER_ADVANCE,A,1,1,,,0
2,ACT_FXCLR_INS,A,1,1,,,0
2,ACT_FXCLR_VIEW,A,1,1,,,0
2,ACT_FXCLR_UPD,A,1,1,,,0
2,ACT_FXCLR_DEL,A,1,1,,,0
2,0120050070005,A,1,1,,,0
2,0120050070010,A,1,1,,,0
2,ACT_ACGLDEF_SER_SIMPLE,A,0,0,,,0
2,ACT_ACGLDEF_SER_ADVANCE,A,0,0,,,0
2,ACT_ACGLDEF_INS,A,0,0,,,0
2,ACT_ACGLDEF_VIEW,A,0,0,,,0
2,ACT_ACGLDEF_UPD,A,0,0,,,0
2,ACT_ACGLDEF_DEL,A,0,0,,,0
2,0120050090005,A,0,0,,,0
2,0120050090010,A,0,0,,,0
2,ACT_ACMAP_SER_SIMPLE,A,1,1,,,0
2,ACT_ACMAP_SER_ADVANCE,A,1,1,,,0
2,ACT_ACMAP_INS,A,1,1,,,0
2,ACT_ACMAP_VIEW,A,1,1,,,0
2,ACT_ACMAP_UPD,A,1,1,,,0
2,ACT_ACMAP_DEL,A,1,1,,,0
2,0120060005,A,1,1,,,0
2,0120060010,A,1,1,,,0
2,0120070000,A,1,1,,,0
2,0120070001,A,1,1,,,0
