Database,Credit,Table,CreditCatalogGLs
"CatalogCode","SysAccountName","COAAccount","AccountAlias","Id"
"HPA3MMK019","PROV_DR_RVS0","","###2050101000001**","466"
"HPA3MMK019","PROV_DR_RVS1","","###2050201000001**","467"
"HPA3MMK019","PROV_DR_RVS2","","###2050201000002**","468"
"HPA3MMK019","PROV_DR_RVS3","","###2050201000003**","469"
"HPA3MMK019","PROV_DR_RVS4","","###2050201000004**","470"
"HPA3MMK019","PROV_DR0","","###2050101000001**","471"
"HPA3MMK019","PROV_DR1","","###2050201000001**","472"
"HPA3MMK019","PROV_DR2","","###2050201000002**","473"
"HPA3MMK019","PROV_DR3","","###2050201000003**","474"
"HPA3MMK019","PROV_DR4","","###2050201000004**","475"
"SHLNMMK016","CREDIT0","","###4050402010001**","476"
"SHLNMMK016","CREDIT1","","###4050402010002**","477"
"SHLNMMK016","CREDIT2","","###4050402010003**","478"
"SHLNMMK016","CREDIT3","","###4050402010004**","479"
"SHLNMMK016","CREDIT4","","###4050402010005**","480"
"SHLNMMK016","PROV_CR_RVS0","","###4050803010001**","481"
"SHLNMMK016","PROV_CR_RVS1","","###4050803010002**","482"
"SHLNMMK016","PROV_CR_RVS2","","###4050803010003**","483"
"SHLNMMK016","PROV_CR_RVS3","","###4050801010004**","484"
"SHLNMMK016","PROV_CR_RVS4","","###4050801010005**","485"
"SHLNMMK016","PROV_CR0","","###4050803010001**","486"
"SHLNMMK016","PROV_CR1","","###4050803010002**","487"
"SHLNMMK016","PROV_CR2","","###4050803010003**","488"
"SHLNMMK016","PROV_CR3","","###4050801010004**","489"
"SHLNMMK016","PROV_CR4","","###4050801010005**","490"
"SHLNMMK016","PROV_DR_RVS0","","###2050101000001**","491"
"SHLNMMK016","PROV_DR_RVS1","","###2050201000001**","492"
"SHLNMMK016","PROV_DR_RVS2","","###2050201000002**","493"
"SHLNMMK016","PROV_DR_RVS3","","###2050201000003**","494"
"SHLNMMK016","PROV_DR_RVS4","","###2050201000004**","495"
"SHLNMMK016","PROV_DR0","","###2050101000001**","496"
"SHLNMMK016","PROV_DR1","","###2050201000001**","497"
"SHLNMMK016","PROV_DR2","","###2050201000002**","498"
"SHLNMMK016","PROV_DR3","","###2050201000003**","499"
"SHLNMMK016","PROV_DR4","","###2050201000004**","500"
"UPFRONTINT","CREDIT0","","###4050402010001**","601"
"UPFRONTINT","CREDIT1","","###4050402010002**","602"
"UPFRONTINT","CREDIT2","","###4050402010003**","603"
"UPFRONTINT","CREDIT3","","###4050402010004**","604"
"UPFRONTINT","CREDIT4","","###4050402010005**","605"
"UPFRONTINT","PROV_CR_RVS0","","###4050803010001**","606"
"UPFRONTINT","PROV_CR_RVS1","","###4050803010002**","607"
"UPFRONTINT","PROV_CR_RVS2","","###4050803010003**","608"
"UPFRONTINT","PROV_CR_RVS3","","###4050801010004**","609"
"UPFRONTINT","PROV_CR_RVS4","","###4050801010005**","610"
"UPFRONTINT","PROV_CR0","","###4050803010001**","611"
"UPFRONTINT","PROV_CR1","","###4050803010002**","612"
"UPFRONTINT","PROV_CR2","","###4050803010003**","613"
"UPFRONTINT","PROV_CR3","","###4050801010004**","614"
"UPFRONTINT","PROV_CR4","","###4050801010005**","615"
"UPFRONTINT","PROV_DR_RVS0","","###2050101000001**","616"
"UPFRONTINT","PROV_DR_RVS1","","###2050201000001**","617"
"UPFRONTINT","PROV_DR_RVS2","","###2050201000002**","618"
"UPFRONTINT","PROV_DR_RVS3","","###2050201000003**","619"
"UPFRONTINT","PROV_DR_RVS4","","###2050201000004**","620"
"UPFRONTINT","PROV_DR0","","###2050101000001**","621"
"UPFRONTINT","PROV_DR1","","###2050201000001**","622"
"UPFRONTINT","PROV_DR2","","###2050201000002**","623"
"UPFRONTINT","PROV_DR3","","###2050201000003**","624"
"UPFRONTINT","PROV_DR4","","###2050201000004**","625"
"CTLNPLMANL","PROV_CR_RVS0","","###4050803010001**","676"
"CTLNPLMANL","PROV_CR_RVS1","","###4050803010002**","677"
"CTLNPLMANL","PROV_CR_RVS2","","###4050803010003**","678"
"CTLNPLMANL","PROV_CR_RVS3","","###4050801010004**","679"
"CTLNPLMANL","PROV_CR_RVS4","","###4050801010005**","680"
"CTLNPLMANL","PROV_DR0","","###2050101000001**","681"
"CTLNPLMANL","PROV_DR1","","###2050201000001**","682"
"CTLNPLMANL","PROV_DR2","","###2050201000002**","683"
"CTLNPLMANL","PROV_DR3","","###2050201000003**","684"
"CTLNPLMANL","PROV_DR4","","###2050201000004**","685"
"CTLNPLMANL","PROV_CR0","","###4050803010001**","686"
"CTLNPLMANL","PROV_CR1","","###4050803010002**","687"
"CTLNPLMANL","PROV_CR2","","###4050803010003**","688"
"CTLNPLMANL","PROV_CR3","","###4050801010004**","689"
"CTLNPLMANL","PROV_CR4","","###4050801010005**","690"
"CTLNPLMANL","PROV_DR_RVS0","","###2050101000001**","691"
"CTLNPLMANL","PROV_DR_RVS1","","###2050201000001**","692"
"CTLNPLMANL","PROV_DR_RVS2","","###2050201000002**","693"
"CTLNPLMANL","PROV_DR_RVS3","","###2050201000003**","694"
"CTLNPLMANL","PROV_DR_RVS4","","###2050201000004**","695"
"CTLNPLMANL","CREDIT0","","###4050402010001**","696"
"CTLNPLMANL","CREDIT1","","###4050402010002**","697"
"CTLNPLMANL","CREDIT2","","###4050402010003**","698"
"CTLNPLMANL","CREDIT3","","###4050402010004**","699"
"CTLNPLMANL","CREDIT4","","###4050402010005**","700"
