Database,Deposit,Table,DepositIFCDefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcCode,IfcName,ValueBase,IsLinked,IfcLinkage,IfcOperator,FloorValue,CeilingValue,ValueType,IfcType,IfcSubType,IfcValue,MarginValue,ValueBasic,Isnet,Refname,IfcTenor,IfcTenorUnit,IfcCondition,CurrencyCode,RoundingRule,RoundingBasis,RoundingNum,Isleave,Isbook,Booktday,BookTenor,BookTenorUnit,IfcStatus,UserCreated,UserApproved,Payrate,ShareFee,EffectValueDate,EffectValue,TransactionList,CreatedOnUtc,UpdatedOnUtc,Id
120,"SHWE prepaid fixed deposit account by cash (balance 500,000,000 and above) in MMK",A,N,0,+,0.00000,0.00000,P,I,IP,9.50000,0.00000,CurrentBalance,,,1,Y,CurrentBalance >= 500000000,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
121,"SHWE prepaid fixed deposit account by transfer (balance under 500,000,000) in MMK",A,N,0,+,0.00000,0.00000,P,I,IP,8.25000,0.00000,CurrentBalance,,,1,Y,CurrentBalance > 0 AND CurrentBalance < 500000000,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
122,"SHWE prepaid fixed deposit account by transfer (balance 500,000,000 and above) in MMK",A,N,0,+,0.00000,0.00000,P,I,IP,8.50000,0.00000,CurrentBalance,,,1,Y,CurrentBalance >= 500000000,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
123,Penalty fee early withdrawal,A,N,0,+,0.00000,0.00000,P,F,FP,0.10000,0.00000,,,,1,Y,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
124,Early withdrawal interest 1 months,A,N,0,+,0.00000,0.00000,P,I,IE,7.00000,0.00000,"CurrentBalance*dbo.IfcRate(IfcCode)*dbo.TotalDaysOfActualTenor(AccountNumber, WorkingDate)",,,1,Y,"1 < dbo.ActualTenor(AccountNumber, WorkingDate) AND dbo.ActualTenor(AccountNumber, WorkingDate) < 3 AND CAST(EndOfTenor AS DATE) > CAST(WorkingDate AS DATE) AND DepositSubType <> 'T6'",MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
125,Early withdrawal interest 3 months,A,N,0,+,0.00000,0.00000,P,I,IE,7.00000,0.00000,"CurrentBalance*dbo.IfcRate(IfcCode)*dbo.TotalDaysOfActualTenor(AccountNumber, WorkingDate)",,,1,Y,"3 < dbo.ActualTenor(AccountNumber, WorkingDate) AND dbo.ActualTenor(AccountNumber, WorkingDate) < 6 AND CAST(EndOfTenor AS DATE) > CAST(WorkingDate AS DATE) AND DepositSubType <> 'T6'",MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
126,Early withdrawal interest 6 months,A,N,0,+,0.00000,0.00000,P,I,IE,7.00000,0.00000,"CurrentBalance*dbo.IfcRate(IfcCode)*dbo.TotalDaysOfActualTenor(AccountNumber, WorkingDate)",,,1,Y,"6 < dbo.ActualTenor(AccountNumber, WorkingDate) AND dbo.ActualTenor(AccountNumber, WorkingDate) < 9 AND CAST(EndOfTenor AS DATE) > CAST(WorkingDate AS DATE) AND DepositSubType <> 'T6'",MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
127,Early withdrawal interest 9 months,A,N,0,+,0.00000,0.00000,P,I,IE,7.00000,0.00000,"CurrentBalance*dbo.IfcRate(IfcCode)*dbo.TotalDaysOfActualTenor(AccountNumber, WorkingDate)",,,1,Y,"9 < dbo.ActualTenor(AccountNumber, WorkingDate) AND CAST(EndOfTenor AS DATE) < CAST(WorkingDate AS DATE) AND DepositSubType <> 'T6'",MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
1,Deposit (MMK) For Different Region (By Cash/Tr),I,N,0,%,200.00000,0.00000,P,C,CN,0.05000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_CDP|DPT_IFC,,,0
2,Withdrawal (MMK) For Different Region  (By Cash),I,N,0,%,200.00000,0.00000,P,C,CN,0.05000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_CWR,,,0
