Database,Deposit,Table,IFCGLs
IfcCode,SysAccountName,AccountAlias,Id
212,COMMITMENT_FEE2,###1101003010003**,0
212,PAID_COMMITMENT_FEE2,###1101003010003**,0
212,COMMITMENT_FEE3,###1101003010003**,0
212,COMMITMENT_FEE4,###1101003010003**,0
212,PAID_COMMITMENT_FEE_S,###1101003010003**,0
221,INTEREST0,###1101003010003**,0
221,PAID_INTEREST0,###1101003010003**,0
221,INTEREST1,###1101003010003**,0
221,PAID_INTEREST1,###1101003010003**,0
221,INTEREST2,###1101003010003**,0
221,PAID_INTEREST2,###1101003010003**,0
221,INTEREST3,###1101003010003**,0
221,INTEREST4,###1101003010003**,0
221,PAID_INTEREST_S,###1101003010003**,0
223,COMMITMENT_FEE0,###1101003010003**,0
223,PAID_COMMITMENT_FEE0,###1101003010003**,0
223,COMMITMENT_FEE1,###1101003010003**,0
223,PAID_COMMITMENT_FEE1,###1101003010003**,0
223,COMMITMENT_FEE2,###1101003010003**,0
223,PAID_COMMITMENT_FEE2,###1101003010003**,0
223,COMMITMENT_FEE3,###1101003010003**,0
223,COMMITMENT_FEE4,###1101003010003**,0
223,PAID_COMMITMENT_FEE_S,###1101003010003**,0
134,INTEREST0,###1101003010003**,0
134,PAID_INTEREST0,###1101003010003**,0
134,INTEREST1,###1101003010003**,0
134,PAID_INTEREST1,###1101003010003**,0
134,INTEREST2,###1101003010003**,0
134,PAID_INTEREST2,###1101003010003**,0
134,INTEREST3,###1101003010003**,0
134,INTEREST4,###1101003010003**,0
134,PAID_INTEREST_S,###1101003010003**,0
135,INTEREST,###1101003010003**,0
135,PAID_INTEREST,###1101003010003**,0
135,REVERT_INTEREST,###1101003010003**,0
135,PREPAID_INTEREST,###1101003010003**,0
136,INTEREST,###1101003010003**,0
136,PAID_INTEREST,###1101003010003**,0
136,REVERT_INTEREST,###1101003010003**,0
136,PREPAID_INTEREST,###1101003010003**,0
138,INTEREST,###1101003010003**,0
138,PAID_INTEREST,###1101003010003**,0
138,REVERT_INTEREST,###1101003010003**,0
138,PREPAID_INTEREST,###1101003010003**,0
