Database,Accounting,Table,AccountBalance,,,,,,,,,,,,,,,,,,,,
AccountNumber,BranchCode,CurrencyCode,Balance,DailyDebit,DailyCredit,WeeklyDebit,WeeklyCredit,MonthlyDebit,MonthlyCredit,QuarterlyDebit,QuarterlyCredit,HalfYearlyDebit,HalfYearlyCredit,YearlyDebit,YearlyCredit,WeekAverageBalance,MonthAverageBalance,QuarterAverageBalance,HalfYearAverageBalance,YearAverageBalance,CreatedOnUtc,UpdatedOnUtc,Id
002101010202010201,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101020100000101,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101020100000201,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101020100000301,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101020100000401,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101020100000502,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101020100000503,002,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101020100000504,002,SGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101030100000101,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101030100000102,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101030100000103,002,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101030100000104,002,SGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101030100000106,002,THB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101040101000102,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101040101000104,002,SGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101040101000202,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101040101000302,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101040101000402,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101040101000506,002,THB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101040101000502,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101040101000604,002,SGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101040101000602,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101040101000704,002,SGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101040101000802,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101040101000902,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101040101001002,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101050100000101,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101060100000101,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101060100000102,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101070100000102,002,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101070100000103,002,EUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101070100000104,002,SGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002101070100000106,002,THB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002102010101000101,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002102010101000201,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002103010101010101,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002103010101010201,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002103010101010301,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
002103010101010401,002,MMK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
