Database,Accounting,Table,AccountBalance,,,,,,,,,,,,,,,,,,,,
AccountNumber,CurrencyCode,BranchCode,Balance,DailyDebit,DailyCredit,WeeklyDebit,WeeklyCredit,MonthlyDebit,MonthlyCredit,QuarterlyDebit,QuarterlyCredit,HalfYearlyDebit,HalfYearlyCredit,YearlyDebit,YearlyCredit,WeekAverageBalance,MonthAverageBalance,QuarterAverageBalance,HalfYearAverageBalance,YearAverageBalance,CreatedOnUtc,UpdatedOnUtc,Id
001101010202010201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101020100000101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101020100000201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101020100000301,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101020100000401,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101020100000502,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101020100000503,EUR,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101020100000504,SGD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101030100000101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101030100000102,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101030100000103,EUR,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101030100000104,SGD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101030100000106,THB,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101040101000102,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101040101000104,SGD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101040101000202,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101040101000302,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101040101000402,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
