Database,Accounting,Table,AccountMapping,,,
MappingId,MappingTableName,AccountName,MappingType,CreatedOnUtc,UpdatedOnUtc,Id
002110020401010201,11002040101,,A,,,0
002110020401010301,11002040101,,A,,,0
002110020501000101,11002050100,,A,,,0
002110020601000101,11002060100,,A,,,0
002110020601000201,11002060100,,A,,,0
002110030100000101,11003010000,,A,,,0
002110040100000101,11004010000,,A,,,0
002110050101000101,11005010100,,A,,,0
002110050101000201,11005010100,,A,,,0
002110060100000101,11006010000,,A,,,0
002110060100000202,11006010000,,A,,,0
002110060100000301,11006010000,,A,,,0
002110060100000401,11006010000,,A,,,0
002110060100000502,11006010000,,A,,,0
002110060100000601,11006010000,,A,,,0
002110060100000701,11006010000,,A,,,0
002110060100000801,11006010000,,A,,,0
002110060100000901,11006010000,,A,,,0
002110060100001001,11006010000,,A,,,0
002110060100001101,11006010000,,A,,,0
002110060100001201,11006010000,,A,,,0
002110060100001202,11006010000,,A,,,0
002110060100001302,11006010000,,A,,,0
002110060100001402,11006010000,,A,,,0
002110060100001501,11006010000,,A,,,0
002110060100001601,11006010000,,A,,,0
002110060100001701,11006010000,,A,,,0
002110060100001801,11006010000,,A,,,0
002110060100001901,11006010000,,A,,,0
002110060100002001,11006010000,,A,,,0
002110060100002101,11006010000,,A,,,0
002110070100000101,11007010000,,A,,,0
002110070100000201,11007010000,,A,,,0
002110070100000301,11007010000,,A,,,0
002110070100000401,11007010000,,A,,,0
002110070100000501,11007010000,,A,,,0
002110070100000601,11007010000,,A,,,0
002110080100000101,11008010000,,A,,,0
002110090100000101,11009010000,,A,,,0
002110100100000001,11010010000,,A,,,0
002110100101000101,11010010100,,A,,,0
002110100101000201,11010010100,,A,,,0
002110100101000301,11010010100,,A,,,0
002110100101000401,11010010100,,A,,,0
002110100101000501,11010010100,,A,,,0
002110100101000601,11010010100,,A,,,0
002110100101000701,11010010100,,A,,,0
002110100101000801,11010010100,,A,,,0
002110100101000901,11010010100,,A,,,0
002110100101001001,11010010100,,A,,,0
002110100101001101,11010010100,,A,,,0
002110100101001201,11010010100,,A,,,0
002110100101001301,11010010100,,A,,,0
002110100201000101,11010020100,,A,,,0
002110100201000201,11010020100,,A,,,0
002110100201000301,11010020100,,A,,,0
002110100201000401,11010020100,,A,,,0
002110100301000101,11010030100,,A,,,0
002110100301000201,11010030100,,A,,,0
002110100301000301,11010030100,,A,,,0
002110100301000401,11010030100,,A,,,0
002110100301000501,11010030100,,A,,,0
002110100301000601,11010030100,,A,,,0
002110100301000701,11010030100,,A,,,0
002110100301000801,11010030100,,A,,,0
002110100301000901,11010030100,,A,,,0
002110100301001001,11010030100,,A,,,0
002110100301001101,11010030100,,A,,,0
002110100301001201,11010030100,,A,,,0
002110100301001301,11010030100,,A,,,0
002110100401000101,11010040100,,A,,,0
002110100401000201,11010040100,,A,,,0
002110100401000301,11010040100,,A,,,0
002110100401000401,11010040100,,A,,,0
002110100401000501,11010040100,,A,,,0
002110100401000601,11010040100,,A,,,0
002110100401000701,11010040100,,A,,,0
002110100401000801,11010040100,,A,,,0
002110100401000901,11010040100,,A,,,0
002110100401001001,11010040100,,A,,,0
