Database,Accounting,Table,AccountMapping,,,
MappingId,MappingTableName,AccountName,MappingType,CreatedOnUtc,UpdatedOnUtc,Id
001101010101010101,10101010101,Cash and balances with Myanma Economic Bank (Current Deposit),A,,,0
001101010101020201,10101010102,Cash and balances with Myanma Foreign Trade Bank (Current Deposit) ,A,,,0
001101010101030301,10101010103,Cash and balances with Myanma Investment and Commercial Bank (Current Deposit),A,,,0
001101010101040401,10101010104,Cash and balances with Myanma Agricultural Development Bank  (Current Deposit),A,,,0
001101010101050501,10101010105,Cash and balances with Myanmar  Citizens  Bank  Ltd (Current Deposit),A,,,0
001101010101060602,10101010106,Cash and balances with CB Bank PCL (Current Deposit),A,,,0
001101010101060603,10101010106,Cash and balances with CB Bank PCL (Current Deposit),A,,,0
001101010101070701,10101010107,Cash and balances with Yadanabon  Bank  Ltd (Current Deposit),A,,,0
001101010101080801,10101010108,Cash and balances with First  Private  Bank  Ltd. (Current Deposit),A,,,0
001101010101090902,10101010109,Cash and balances with Myawaddy  Bank  Ltd. (Current Deposit),A,,,0
001101010101090903,10101010109,Cash and balances with Myawaddy  Bank  Ltd. (Current Deposit),A,,,0
001101010101090904,10101010109,Cash and balances with Myawaddy  Bank  Ltd. (Current Deposit),A,,,0
001101010101101001,10101010110,Cash and balances withYangon  City  Bank  Ltd. (Current Deposit),A,,,0
001101010101111101,10101010111,Cash and balances with Yoma  Bank  Ltd. (Current Deposit),A,,,0
001101010101111102,10101010111,Cash and balances with Yoma  Bank  Ltd. (Current Deposit),A,,,0
001101010101111103,10101010111,Cash and balances with Yoma  Bank  Ltd. (Current Deposit),A,,,0
001101010101111104,10101010111,Cash and balances with Yoma  Bank  Ltd. (Current Deposit),A,,,0
001101010101121201,10101010112,Cash and balances with Myanmar  Oriental  Bank  Ltd. (Current Deposit),A,,,0
001101010101131301,10101010113,Cash and balances with Tun  Commercial  Bank  Ltd. (Current Deposit),A,,,0
001101010101131302,10101010113,Cash and balances with Tun  Commercial  Bank  Ltd. (Current Deposit),A,,,0
001101010101131303,10101010113,Cash and balances with Tun  Commercial  Bank  Ltd. (Current Deposit),A,,,0
001101010101131304,10101010113,Cash and balances with Tun  Commercial  Bank  Ltd. (Current Deposit),A,,,0
001101010101141401,10101010114,Cash and balances with Kanbawza  Bank  Ltd.(Current Deposit),A,,,0
001101010101151501,10101010115,Cash and balances with Small and Medium Enterprise Development  Bank  Ltd. (Current Deposit),A,,,0
001101010101161601,10101010116,Cash and balances with Global Treasure Bank Ltd (Current Deposit),A,,,0
001101010101171702,10101010117,Cash and balances with Rural  Development Bank  Ltd. (Current Deposit),A,,,0
001101010101181801,10101010118,Cash and balances with Innwa  Bank  Ltd. (Current Deposit),A,,,0
001101010101191901,10101010119,Cash and balances with Asia Green Development Bank Ltd. (Current Deposit),A,,,0
001101010101202001,10101010120,Cash and balances with Ayeyarwady Bank Ltd (Current Deposit),A,,,0
001101010101212101,10101010121,Cash and balances with uab Bank Limited (Current Deposit),A,,,0
001101010101212102,10101010121,Cash and balances with uab Bank Limited (Current Deposit),A,,,0
001101010101212103,10101010121,Cash and balances with uab Bank Limited (Current Deposit),A,,,0
001101010101212104,10101010121,Cash and balances with uab Bank Limited (Current Deposit),A,,,0
001101010101222201,10101010122,Cash and balances with Myanma Apex Bank Ltd (Current Deposit),A,,,0
001101010101222202,10101010122,Cash and balances with Myanma Apex Bank Ltd (Current Deposit),A,,,0
001101010101222203,10101010122,Cash and balances with Myanma Apex Bank Ltd (Current Deposit),A,,,0
001101010101222204,10101010122,Cash and balances with Myanma Apex Bank Ltd (Current Deposit),A,,,0
001101010101232301,10101010123,Cash and balances with Naypyitaw Development Bank Ltd. (Current Deposit),A,,,0
001101010101242401,10101010124,Cash and balances with Myanmar Metro Bank Ltd. (Current Deposit),A,,,0
001101010101242402,10101010124,Cash and balances with Myanmar Metro Bank Ltd. (Current Deposit),A,,,0
001101010101242403,10101010124,Cash and balances with Myanmar Metro Bank Ltd. (Current Deposit),A,,,0
001101010101242404,10101010124,Cash and balances with Myanmar Metro Bank Ltd. (Current Deposit),A,,,0
001101010101252501,10101010125,"Cash and balances with Construction, Housing & Infrastructure Development Bank Ltd. (Current Deposit)",A,,,0
